"","species","sp_id","meanBrightness","Chroma","Hue"
"1","Averrhoa bilimbi","Ab",4.12998785896953,1.63945727841032,546
"2","Arenga engleri","Ae",3.68608620683631,3.02293665284237,560
"3","Ardisia elliptica","Arel",11.0947650085332,2.22769741933821,633
"4","Artocarpus heterophyllus","Arspp",6.13963444572069,2.27089898378492,546
"5","Areca vestiaria","Av",7.58965337655579,6.63875265943016,678
"6","Brownea ariza","Brar",4.56158285293483,1.5882821511342,674
"7","Caesalpinia pulcherrima","Capu",8.99239664413787,0.410940208476943,309
"8","Canna indica","Ci",3.94764960574641,1.01666385577125,677
"9","Caryota mitis","Cn",6.43250229997024,1.48510422358712,557
"10","Hamelia patens","Cp",0.437143228208548,12.1871714106452,680
"11","Dypsis lutescens","Dl",8.10782288397172,1.8808858806878,557
"12","Ficus microcarpa","Fimi",11.0583215469882,2.15680197411379,551
"13","Gnetum gnemon","Gg",12.8671182499467,3.02132915100517,647
"14","Hedychium gardnerianum","Hd",2.86978603269268,2.58022969048606,561
"15","Licuala grandid","Lg",7.03062088055737,5.90559720325714,679
"16","Licuala spinosa","Ls",7.89729930646433,3.52956426618018,679
"17","Mangifera indica","Main",7.392345868462,2.30198383304962,551
"18","Morinda citrifolia","Moci",13.4480250766786,1.58362936081869,641
"19","Murraya paniculata","Mupa",10.6650625436588,2.41268847800224,677
"20","Ophiopogon japonicus","Oj",1.99064760501189,4.45801428806304,553
"21","Palisota bracteosa?","Pd",5.57407448185241,4.25672340503647,676
"22","Piper arboreum","Piar",7.218824231802,1.4415545136781,558
"23","Polyalthia littoralis","Pl",3.96843658358477,3.68174875823865,680
"24","Phoenix roebelenii","Pr",1.50825840157654,1.67760283350857,636
"25","Psidium guajava","Psg",4.73256357378118,2.61982094013229,546
"26","Psychotria punctata","Pspu",7.80328627601385,2.38910862568635,555
"27","Pseudorhipsalis ramulosa","Psra",9.95716807298816,1.2320020768863,646
"28","Syzygium samarangense","Ss",2.2906870370623,2.47288774424417,612
"29","Steriphoma paradoxum","Stp",4.42529929721104,2.53331104315786,679
