;x;species
1;Ab;Averrhoa bilimbi
2;Ae;Arenga engleri
3;Arel;Ardisia elliptica
4;Arspp;Artocarpus heterophyllus
5;Av;Areca vestiaria
6;Brar;Brownea ariza
7;Capu;Caesalpinia pulcherrima
8;Ci;Canna indica
9;Cn;Caryota mitis
10;Cp;Hamelia patens
11;Dl;Dypsis lutescens
12;Fimi;Ficus microcarpa
13;Gg;Gnetum gnemon
14;Hd;Hedychium gardnerianum
15;Lg;Licuala grandid
16;Ls;Licuala spinosa
17;Main;Mangifera indica
18;Moci;Morinda citrifolia
19;Mupa;Murraya paniculata
20;Oj;Ophiopogon japonicus
21;Pd;Palisota bracteosa?
22;Piar;Piper arboreum
23;Pl;Polyalthia littoralis
24;Pr;Phoenix roebelenii
25;Psg;Psidium guajava
26;Pspu;Psychotria punctata
27;Psra;Pseudorhipsalis ramulosa
28;Ss;Syzygium samarangense
29;Stp;Steriphoma paradoxum
